date,PRC,RET
1/2/2014,87.27,-0.007845
1/3/2014,86.64,-0.007219
1/6/2014,86.32,-0.003693
1/7/2014,87.12,0.009268
1/8/2014,87.31,0.002181
1/9/2014,87.02,-0.003322
1/10/2014,87.3,0.003218
1/13/2014,86.01,-0.014777
1/14/2014,87.65,0.019068
1/15/2014,88.37,0.008215
1/16/2014,88.38,0.000113
1/17/2014,87.88,-0.005657
1/21/2014,88.55,0.007624
1/22/2014,88.78,0.002597
1/23/2014,88.48,-0.003379
1/24/2014,86.74,-0.019666
1/27/2014,85.9,-0.009684
1/28/2014,85.85,-0.000582
1/29/2014,84.93,-0.010716
1/30/2014,86.5,0.018486
1/31/2014,86.27,-0.002659
2/3/2014,84.29,-0.022951
2/4/2014,84.91,0.007356
2/5/2014,84.69,-0.002591
2/6/2014,85.77,0.012752
2/7/2014,87.3,0.017838
2/10/2014,87.8,0.005727
2/11/2014,88.8,0.01139
2/12/2014,88.97,0.001914
2/13/2014,89.63,0.007418
2/14/2014,89.81,0.002008
2/18/2014,90.25,0.004899
2/19/2014,89.63,-0.00687
2/20/2014,90.05,0.004686
2/21/2014,89.93,-0.001333
2/24/2014,90.41,0.005338
2/25/2014,90.31,-0.001106
2/26/2014,90.23,-0.000886
2/27/2014,90.44,0.006463
2/28/2014,90.34,-0.001106
3/3/2014,89.67,-0.007416
3/4/2014,90.81,0.012713
3/5/2014,91.06,0.002753
3/6/2014,90.98,-0.000878
3/7/2014,90.53,-0.004946
3/10/2014,90.61,0.000884
3/11/2014,90.22,-0.004304
3/12/2014,90.56,0.003769
3/13/2014,89.28,-0.014134
3/14/2014,88.67,-0.006832
3/17/2014,89.45,0.008797
3/18/2014,90.53,0.012074
3/19/2014,90.04,-0.005413
3/20/2014,90.29,0.002777
3/21/2014,89,-0.012005
3/24/2014,88.22,-0.008764
3/25/2014,88.51,0.003287
3/26/2014,87.37,-0.01288
3/27/2014,86.879,-0.00562
3/28/2014,87.05,0.001968
3/31/2014,87.67,0.007122
4/1/2014,89.21,0.017566
4/2/2014,89.44,0.002578
4/3/2014,88.73,-0.007938
4/4/2014,86.37,-0.026598
4/7/2014,85.55,-0.009494
4/8/2014,86.34,0.009234
4/9/2014,87.82,0.017142
4/10/2014,85.1,-0.030972
4/11/2014,84.11,-0.011633
4/14/2014,84.77,0.007847
4/15/2014,85.0501,0.003304
4/16/2014,86.18,0.013285
4/17/2014,86.2,0.000232
4/21/2014,86.84,0.007425
4/22/2014,87.53,0.007946
4/23/2014,86.76,-0.008797
4/24/2014,87.59,0.009567
4/25/2014,86.19,-0.015983
4/28/2014,86.47,0.003249
4/29/2014,87.16,0.00798
4/30/2014,87.39,0.002639
5/1/2014,87.65,0.002975
5/2/2014,87.49,-0.001825
5/5/2014,87.95,0.005258
5/6/2014,86.81,-0.012962
5/7/2014,86.56,-0.00288
5/8/2014,86.48,-0.000924
5/9/2014,86.8,0.0037
5/12/2014,88.23,0.016475
5/13/2014,88.29,0.00068
5/14/2014,87.83,-0.00521
5/15/2014,87.135,-0.007913
5/16/2014,87.71,0.006599
5/19/2014,88.32,0.006955
5/20/2014,88,-0.003623
5/21/2014,88.84,0.009545
5/22/2014,89.23,0.00439
5/23/2014,89.88,0.007284
5/27/2014,91.001,0.012472
5/28/2014,90.72,-0.003088
5/29/2014,91.3,0.006393
5/30/2014,91.31,0.000109
6/2/2014,91.22,-0.000986
6/3/2014,91.18,-0.000439
6/4/2014,91.52,0.003729
6/5/2014,92.29,0.008414
6/6/2014,92.82,0.005743
6/9/2014,92.75,-0.000754
6/10/2014,92.91,0.001725
6/11/2014,92.89,-0.000215
6/12/2014,92.05,-0.009043
6/13/2014,92.32,0.002933
6/16/2014,92.4,0.000867
6/17/2014,92.45,0.000541
6/18/2014,92.97,0.005625
6/19/2014,92.91,-0.000645
6/20/2014,92.77,0.001174
6/23/2014,92.79,0.000216
6/24/2014,92.7,-0.00097
6/25/2014,93.29,0.006365
6/26/2014,93.34,0.000536
6/27/2014,93.75,0.004393
6/30/2014,93.91,0.001707
7/1/2014,94.94,0.010968
7/2/2014,95.1,0.001685
7/3/2014,95.7,0.006309
7/7/2014,95.41,-0.00303
7/8/2014,94.26,-0.012053
7/9/2014,94.96,0.007426
7/10/2014,94.66,-0.003159
7/11/2014,95.27,0.006444
7/14/2014,95.84,0.005983
7/15/2014,95.51,-0.003443
7/16/2014,95.89,0.003979
7/17/2014,94.619,-0.013255
7/18/2014,96.12,0.015864
