date,sp500
1/2/1990,0.017527
1/3/1990,-0.002028
1/4/1990,-0.007913
1/5/1990,-0.010069
1/8/1990,0.004798
1/9/1990,-0.011822
1/10/1990,-0.006397
1/11/1990,0.003555
1/12/1990,-0.024482
1/15/1990,-0.009086
1/16/1990,0.01136
1/17/1990,-0.00965
1/18/1990,0.002464
1/19/1990,0.002848
1/22/1990,-0.025516
1/23/1990,0.001458
1/24/1990,-0.001784
1/25/1990,-0.013214
1/26/1990,-0.000937
1/29/1990,-0.00148
1/30/1990,-0.00682
1/31/1990,0.018505
2/1/1990,-0.000526
2/2/1990,0.006636
2/5/1990,0.003658
2/6/1990,-0.006471
2/7/1990,0.012745
2/8/1990,-0.002146
2/9/1990,0.002327
2/12/1990,-0.01016
2/13/1990,0.003099
2/14/1990,0.002925
2/15/1990,0.008808
2/16/1990,-0.006203
2/20/1990,-0.014207
2/21/1990,-0.000619
2/22/1990,-0.005867
2/23/1990,-0.004672
2/26/1990,0.014076
2/27/1990,0.005389
2/28/1990,0.005013
3/1/1990,0.003048
3/2/1990,0.008332
3/5/1990,-0.004746
3/6/1990,0.012692
3/7/1990,-0.003088
3/8/1990,0.009651
3/9/1990,-0.006386
3/12/1990,0.002424
3/13/1990,-0.007962
3/14/1990,0.002751
3/15/1990,0.00332
3/16/1990,0.011167
3/19/1990,0.005245
3/20/1990,-0.005728
3/21/1990,-0.005066
3/22/1990,-0.012495
3/23/1990,0.004903
3/26/1990,0.001969
3/27/1990,0.010609
3/28/1990,0.002265
3/29/1990,-0.00344
3/30/1990,-0.002828
4/2/1990,-0.003003
4/3/1990,0.014589
4/4/1990,-0.007022
4/5/1990,-0.000634
4/6/1990,-0.00181
4/9/1990,0.003429
4/10/1990,0.002021
4/11/1990,-0.000395
4/12/1990,0.007629
4/16/1990,0.001186
4/17/1990,-0.00011
4/18/1990,-0.011545
4/19/1990,-0.007883
4/20/1990,-0.009104
4/23/1990,-0.011236
4/24/1990,-0.002203
4/25/1990,0.005336
4/26/1990,0.002813
4/27/1990,-0.011882
4/30/1990,0.005559
5/1/1990,0.004754
5/2/1990,0.006828
5/3/1990,0.003381
5/4/1990,0.008809
5/7/1990,0.006472
5/8/1990,0.005085
5/9/1990,0.002095
5/10/1990,0.003764
5/11/1990,0.02326
5/14/1990,0.008448
5/15/1990,-0.000853
5/16/1990,-0.00094
5/17/1990,0.001527
5/18/1990,0.000419
5/21/1990,0.009805
5/22/1990,0.001561
5/23/1990,0.002261
5/24/1990,-0.001675
5/25/1990,-0.010589
5/29/1990,0.016972
5/30/1990,0.001021
5/31/1990,0.001383
6/1/1990,0.005151
6/4/1990,0.012349
6/5/1990,-0.002138
6/6/1990,-0.004335
6/7/1990,-0.004876
6/8/1990,-0.012226
6/11/1990,0.008427
6/12/1990,0.012956
6/13/1990,-0.003644
6/14/1990,-0.005459
6/15/1990,-0.000325
6/18/1990,-0.015894
6/19/1990,0.004444
6/20/1990,0.00178
6/21/1990,0.003657
6/22/1990,-0.013607
6/25/1990,-0.008535
6/26/1990,-0.000973
6/27/1990,0.008698
6/28/1990,0.007224
6/29/1990,0.001157
7/2/1990,0.004429
7/3/1990,0.001856
7/5/1990,-0.011935
7/6/1990,0.00777
7/9/1990,0.002916
7/10/1990,-0.007709
7/11/1990,0.012528
7/12/1990,0.011559
7/13/1990,0.004507
7/16/1990,0.004851
7/17/1990,-0.003624
7/18/1990,-0.009066
7/19/1990,0.00302
7/20/1990,-0.009813
7/23/1990,-0.017775
7/24/1990,0.001099
7/25/1990,0.003631
7/26/1990,-0.003092
7/27/1990,-0.006872
7/30/1990,0.006146
7/31/1990,0.001727
8/1/1990,-0.001418
8/2/1990,-0.011686
8/3/1990,-0.016758
8/6/1990,-0.032141
