PERMNO,date,TICKER,COMNAM,RET
10107,1/31/90,MSFT,MICROSOFT CORP,0.063218
10107,2/28/90,MSFT,MICROSOFT CORP,0.067568
10107,3/30/90,MSFT,MICROSOFT CORP,0.121519
10107,4/30/90,MSFT,MICROSOFT CORP,0.047404
10107,5/31/90,MSFT,MICROSOFT CORP,0.258621
10107,6/29/90,MSFT,MICROSOFT CORP,0.041096
10107,7/31/90,MSFT,MICROSOFT CORP,-0.125
10107,8/31/90,MSFT,MICROSOFT CORP,-0.075188
10107,9/28/90,MSFT,MICROSOFT CORP,0.02439
10107,10/31/90,MSFT,MICROSOFT CORP,0.011905
10107,11/30/90,MSFT,MICROSOFT CORP,0.133333
10107,12/31/90,MSFT,MICROSOFT CORP,0.041522
10107,1/31/91,MSFT,MICROSOFT CORP,0.303987
10107,2/28/91,MSFT,MICROSOFT CORP,0.057325
10107,3/28/91,MSFT,MICROSOFT CORP,0.022892
10107,4/30/91,MSFT,MICROSOFT CORP,-0.067138
10107,5/31/91,MSFT,MICROSOFT CORP,0.108586
10107,6/28/91,MSFT,MICROSOFT CORP,-0.068907
10107,7/31/91,MSFT,MICROSOFT CORP,0.078899
10107,8/30/91,MSFT,MICROSOFT CORP,0.159864
10107,9/30/91,MSFT,MICROSOFT CORP,0.043988
10107,10/31/91,MSFT,MICROSOFT CORP,0.054775
10107,11/29/91,MSFT,MICROSOFT CORP,0.035952
10107,12/31/91,MSFT,MICROSOFT CORP,0.143959
10107,1/31/92,MSFT,MICROSOFT CORP,0.080899
10107,2/28/92,MSFT,MICROSOFT CORP,0.027027
10107,3/31/92,MSFT,MICROSOFT CORP,-0.040486
10107,4/30/92,MSFT,MICROSOFT CORP,-0.06962
10107,5/29/92,MSFT,MICROSOFT CORP,0.097506
10107,6/30/92,MSFT,MICROSOFT CORP,-0.132231
10107,7/31/92,MSFT,MICROSOFT CORP,0.039286
10107,8/31/92,MSFT,MICROSOFT CORP,0.024055
10107,9/30/92,MSFT,MICROSOFT CORP,0.080537
10107,10/30/92,MSFT,MICROSOFT CORP,0.102484
10107,11/30/92,MSFT,MICROSOFT CORP,0.049296
10107,12/31/92,MSFT,MICROSOFT CORP,-0.083221
10107,1/29/93,MSFT,MICROSOFT CORP,0.013177
10107,2/26/93,MSFT,MICROSOFT CORP,-0.036127
10107,3/31/93,MSFT,MICROSOFT CORP,0.109445
10107,4/30/93,MSFT,MICROSOFT CORP,-0.075676
10107,5/28/93,MSFT,MICROSOFT CORP,0.083333
10107,6/30/93,MSFT,MICROSOFT CORP,-0.049933
10107,7/30/93,MSFT,MICROSOFT CORP,-0.159091
10107,8/31/93,MSFT,MICROSOFT CORP,0.015203
10107,9/30/93,MSFT,MICROSOFT CORP,0.09817
10107,10/29/93,MSFT,MICROSOFT CORP,-0.028788
10107,11/30/93,MSFT,MICROSOFT CORP,-0.00156
10107,12/31/93,MSFT,MICROSOFT CORP,0.007813
10107,1/31/94,MSFT,MICROSOFT CORP,0.055814
10107,2/28/94,MSFT,MICROSOFT CORP,-0.030837
10107,3/31/94,MSFT,MICROSOFT CORP,0.027273
10107,4/29/94,MSFT,MICROSOFT CORP,0.091445
10107,5/31/94,MSFT,MICROSOFT CORP,0.162162
10107,6/30/94,MSFT,MICROSOFT CORP,-0.039535
10107,7/29/94,MSFT,MICROSOFT CORP,-0.002421
10107,8/31/94,MSFT,MICROSOFT CORP,0.128641
10107,9/30/94,MSFT,MICROSOFT CORP,-0.034409
10107,10/31/94,MSFT,MICROSOFT CORP,0.122494
10107,11/30/94,MSFT,MICROSOFT CORP,-0.001984
10107,12/30/94,MSFT,MICROSOFT CORP,-0.027833
10107,1/31/95,MSFT,MICROSOFT CORP,-0.02863
10107,2/28/95,MSFT,MICROSOFT CORP,0.061053
10107,3/31/95,MSFT,MICROSOFT CORP,0.128968
10107,4/28/95,MSFT,MICROSOFT CORP,0.149385
10107,5/31/95,MSFT,MICROSOFT CORP,0.035933
10107,6/30/95,MSFT,MICROSOFT CORP,0.067159
10107,7/31/95,MSFT,MICROSOFT CORP,0.001383
10107,8/31/95,MSFT,MICROSOFT CORP,0.022099
10107,9/29/95,MSFT,MICROSOFT CORP,-0.021622
10107,10/31/95,MSFT,MICROSOFT CORP,0.104972
10107,11/30/95,MSFT,MICROSOFT CORP,-0.12875
10107,12/29/95,MSFT,MICROSOFT CORP,0.007174
10107,1/31/96,MSFT,MICROSOFT CORP,0.054131
10107,2/29/96,MSFT,MICROSOFT CORP,0.066892
10107,3/29/96,MSFT,MICROSOFT CORP,0.044965
10107,4/30/96,MSFT,MICROSOFT CORP,0.098182
10107,5/31/96,MSFT,MICROSOFT CORP,0.048565
10107,6/28/96,MSFT,MICROSOFT CORP,0.011579
10107,7/31/96,MSFT,MICROSOFT CORP,-0.01873
10107,8/30/96,MSFT,MICROSOFT CORP,0.039236
10107,9/30/96,MSFT,MICROSOFT CORP,0.076531
